Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
hours	11	99.93891	0.999719	99.98495	99.97439	99.97483	99.93954	
integration	11	99.93407	0.999526	99.98495	99.97439	99.95893	99.93696	
high	11	99.92761	0.999705	99.98495	99.97439	99.93497	99.92865	
happy	11	99.92834	0.999686	99.98495	99.97439	99.96838	99.93085	
hedge	11	99.94179	0.999725	99.98495	99.97439	99.95735	99.94336	
hamburg	11	99.94394	0.999683	99.98495	99.97439	99.96964	99.94595	
garden	11	99.93614	0.999675	99.98495	99.97439	99.95257	99.93734	
found	11	99.92761	0.999669	99.98495	99.97439	99.95504	99.93077	
folk	11	99.92903	0.999738	99.98495	99.97439	99.96224	99.93403	
five	11	99.92688	0.999707	99.98495	99.97439	99.97250	99.92766	
few	11	99.93196	0.999745	99.98495	99.97439	99.95765	99.93269	
finally	11	99.93822	0.999657	99.98495	99.97439	99.95931	99.94207	
exchange	11	99.93549	0.999616	99.98495	99.97439	99.95970	99.94168	
event	11	99.93046	0.999685	99.98495	99.97439	99.95886	99.92960	
euros	11	99.93476	0.999714	99.98495	99.97439	99.93920	99.93541	
election	11	99.92903	0.999585	99.98495	99.97439	99.95669	99.93118	
each	11	99.93614	0.999727	99.98495	99.97439	99.96428	99.93671	
damage	11	99.93407	0.999677	99.98495	99.97439	99.95812	99.93755	
control	11	99.93407	0.999648	99.98495	99.97439	99.95531	99.93188	
construction	11	99.93119	0.999451	99.98495	99.97439	99.96528	99.93333	
driver	11	99.92834	0.999654	99.98495	99.97439	99.96732	99.93085	
cologne	11	99.93895	0.999643	99.98495	99.97439	99.97297	99.94155	
completely	11	99.92834	0.999518	99.98495	99.97439	99.94154	99.93012	
clear	11	99.92615	0.999669	99.98495	99.97439	99.96587	99.93129	
champion	11	99.92977	0.999570	99.98495	99.97439	99.95005	99.93473	
caused	11	99.92761	0.999646	99.98495	99.97439	99.93722	99.92868	
case	11	99.93399	0.999744	99.98495	99.97439	99.97692	99.93672	
brought	11	99.92615	0.999617	99.98495	99.97439	99.95755	99.93229	
brazilian	11	99.93534	0.999568	99.98495	99.97439	99.95288	99.93978	
afternoon	11	99.93484	0.999562	99.98495	99.97439	99.97776	99.93480	
action	11	99.93691	0.999697	99.98495	99.97439	99.96935	99.93678	
addition	11	99.93906	0.999654	99.98495	99.97439	99.96995	99.94814	
working	10	99.93502	0.999644	99.98495	99.97653	99.97244	99.93947	
whether	10	99.94132	0.999680	99.98495	99.97653	99.95921	99.94344	
25	11	99.93123	0.999771	99.98495	99.97439	99.97432	99.93699	
wind	10	99.93575	0.999740	99.98495	99.97653	99.94981	99.93578	
united	10	99.93648	0.999669	99.98495	99.97653	99.95601	99.93982	
union	10	99.94213	0.999729	99.98495	99.97653	99.96488	99.94390	
trade	10	99.93936	0.999742	99.98495	99.97653	99.96164	99.94186	
trainer	10	99.94420	0.999684	99.98495	99.97653	99.94728	99.94290	
these	10	99.94843	0.999754	99.98495	99.97653	99.96251	99.94961	
thing	10	99.94005	0.999728	99.98495	99.97653	99.97220	99.94050	
track	10	99.93648	0.999707	99.98495	99.97653	99.96613	99.93988	
system	10	99.93360	0.999679	99.98495	99.97653	99.95096	99.93563	
summer	10	99.93717	0.999679	99.98495	99.97653	99.96048	99.93856	
sulawesi	10	99.93717	0.999629	99.98495	99.97653	99.96383	99.93686	
stand	10	99.93575	0.999709	99.98495	99.97653	99.97134	99.94306	
site	10	99.94005	0.999769	99.98495	99.97653	99.96292	99.94256	
short	10	99.94005	0.999730	99.98495	99.97653	99.95796	99.94382	
see	10	99.93287	0.999769	99.98495	99.97653	99.95967	99.93525	
quite	10	99.93856	0.999719	99.98495	99.97653	99.96074	99.94191	
presented	10	99.93794	0.999595	99.98495	99.97653	99.95429	99.93771	
opened	10	99.93721	0.999676	99.98495	99.97653	99.95869	99.93684	
presidential	10	99.94082	0.999498	99.98495	99.97653	99.97262	99.94361	
men	10	99.93575	0.999784	99.98495	99.97653	99.95994	99.93720	
public	10	99.93502	0.999682	99.98495	99.97653	99.95572	99.93687	
married	10	99.93502	0.999654	99.98495	99.97653	99.96926	99.94499	
macedonia	10	99.94562	0.999622	99.98495	99.97653	99.97586	99.94804	
liverpool	10	99.93925	0.999600	99.98495	99.97653	99.96181	99.94175	
kulmbach	10	99.93925	0.999634	99.98495	99.97653	99.95369	99.94125	
independence	10	99.93575	0.999507	99.98495	99.97653	99.95616	99.93986	
hard	10	99.93287	0.999729	99.98495	99.97653	99.95731	99.93854	
house	10	99.94005	0.999755	99.98495	99.97653	99.97374	99.94312	
hiltrup	10	99.93360	0.999654	99.98495	99.97653	99.94914	99.93605	
going	10	99.93433	0.999707	99.98495	99.97653	99.95864	99.94034	
go	10	99.93502	0.999834	99.98495	99.97653	99.97073	99.93840	
fruit	10	99.94071	0.999724	99.98495	99.97653	99.95294	99.94315	
fc	10	99.95266	0.999852	99.98495	99.97653	99.97335	99.95550	
food	10	99.93790	0.999755	99.98495	99.97653	99.95392	99.93886	
everything	10	99.94071	0.999574	99.98495	99.97653	99.96618	99.94256	
easy	10	99.93502	0.999739	99.98495	99.97653	99.97818	99.94168	
discussion	10	99.93717	0.999578	99.98495	99.97653	99.97456	99.93905	
diesel	10	99.93717	0.999681	99.98495	99.97653	99.95495	99.93950	
cross	10	99.93790	0.999709	99.98495	99.97653	99.96517	99.94072	
course	10	99.94363	0.999713	99.98495	99.97653	99.97828	99.94712	
company	10	99.94225	0.999675	99.98495	99.97653	99.94747	99.93718	
civil	10	99.93360	0.999699	99.98495	99.97653	99.95814	99.94232	
close	10	99.94770	0.999749	99.98495	99.97653	99.96478	99.94999	
center	10	99.93575	0.999684	99.98495	99.97653	99.94776	99.93728	
celebrate	10	99.93360	0.999579	99.98495	99.97653	99.95854	99.94055	
celebrated	10	99.93287	0.999549	99.98495	99.97653	99.96194	99.93563	
cdu	10	99.93575	0.999765	99.98495	99.97653	99.97178	99.94786	
bundesliga	10	99.93717	0.999565	99.98495	99.97653	99.96569	99.93962	
become	10	99.93721	0.999675	99.98495	99.97653	99.95638	99.94002	
bolsonaro	10	99.94993	0.999650	99.98495	99.97653	99.96575	99.94801	
barcelona	10	99.94977	0.999645	99.98495	99.97653	99.97311	99.95210	
appearance	10	99.93717	0.999589	99.98495	99.97653	99.95762	99.93839	
agreement	10	99.94355	0.999637	99.98495	99.97653	99.96591	99.94331	
audi	10	99.93709	0.999754	99.98495	99.97653	99.94549	99.93827	
agreed	10	99.93575	0.999684	99.98495	99.97653	99.96968	99.93909	
2018	10	99.93790	0.999749	99.98495	99.97653	99.95839	99.93782	
wing	9	99.94388	0.999776	99.98495	99.97866	99.96790	99.94877	
wins	9	99.94319	0.999756	99.98495	99.97866	99.95967	99.94499	
von	9	99.94031	0.999783	99.98495	99.97866	99.95574	99.95126	
usa	9	99.94388	0.999796	99.98495	99.97866	99.97699	99.94498	
times	9	99.94604	0.999755	99.98495	99.97866	99.96897	99.94832	
tried	9	99.94031	0.999778	99.98495	99.97866	99.95543	99.94368	
though	9	99.94604	0.999732	99.98495	99.97866	99.96812	99.94664	
therefore	9	99.95092	0.999677	99.98495	99.97866	99.96267	99.95238	
talk	9	99.94173	0.999776	99.98495	99.97866	99.96924	99.94476	
themselves	9	99.94604	0.999625	99.98495	99.97866	99.94720	99.94755	
teams	9	99.94031	0.999729	99.98495	99.97866	99.96807	99.94751	
takes	9	99.94173	0.999740	99.98495	99.97866	99.96546	99.94442	
tafel	9	99.94381	0.999744	99.98495	99.97866	99.96874	99.94418	
successful	9	99.94031	0.999594	99.98495	99.97866	99.95593	99.94139	
stuttgart	9	99.94535	0.999631	99.98495	99.97866	99.96560	99.94594	
strong	9	99.93958	0.999702	99.98495	99.97866	99.96140	99.94295	
street	9	99.94596	0.999728	99.98495	99.97866	99.96500	99.94480	
step	9	99.94604	0.999782	99.98495	99.97866	99.97280	99.94658	
station	9	99.94388	0.999705	99.98495	99.97866	99.95288	99.94302	
stated	9	99.94319	0.999712	99.98495	99.97866	99.97096	99.94707	
speech	9	99.94669	0.999728	99.98495	99.97866	99.97354	99.94568	
services	9	99.94892	0.999668	99.98495	99.97866	99.96439	99.94873	
seriously	9	99.94742	0.999645	99.98495	99.97866	99.97781	99.95318	
sound	9	99.94608	0.999749	99.98495	99.97866	99.95133	99.94437	
return	9	99.94031	0.999702	99.98495	99.97866	99.96861	99.94389	
ronaldo	9	99.94669	0.999698	99.98495	99.97866	99.96892	99.94873	
result	9	99.94462	0.999723	99.98495	99.97866	99.97801	99.94706	
recently	9	99.94388	0.999659	99.98495	99.97866	99.95706	99.94746	
remain	9	99.93958	0.999702	99.98495	99.97866	99.96214	99.93821	
referendum	9	99.95307	0.999645	99.98495	99.97866	99.96672	99.95343	
quickly	9	99.94669	0.999700	99.98495	99.97866	99.95849	99.94834	
previously	9	99.95380	0.999625	99.98495	99.97866	99.97091	99.95658	
power	9	99.94246	0.999729	99.98495	99.97866	99.95192	99.94118	
others	9	99.94811	0.999728	99.98495	99.97866	99.97034	99.94909	
muscle	9	99.94957	0.999737	99.98495	99.97866	99.95032	99.95137	
mosque	9	99.94319	0.999717	99.98495	99.97866	99.97375	99.94726	
morning	9	99.94104	0.999675	99.98495	99.97866	99.96160	99.94487	
million	9	99.94177	0.999675	99.98495	99.97866	99.93944	99.94240	
mood	9	99.94604	0.999775	99.98495	99.97866	99.97034	99.94562	
mesut	9	99.94246	0.999737	99.98495	99.97866	99.96608	99.94736	
meeting	9	99.93958	0.999675	99.98495	99.97866	99.96976	99.94182	
media	9	99.94527	0.999744	99.98495	99.97866	99.96000	99.94714	
lost	9	99.93958	0.999761	99.98495	99.97866	99.96862	99.94471	
mainz	9	99.95026	0.999775	99.98495	99.97866	99.96567	99.95123	
main	9	99.94608	0.999763	99.98495	99.97866	99.96376	99.94694	
mayor	9	99.93958	0.999734	99.98495	99.97866	99.93705	99.93734	
longer	9	99.94104	0.999703	99.98495	99.97866	99.96975	99.94251	
law	9	99.95026	0.999828	99.98495	99.97866	99.96952	99.95051	
living	9	99.94535	0.999715	99.98495	99.97866	99.96504	99.94697	
keller	9	99.95234	0.999742	99.98495	99.97866	99.96716	99.95376	
lohan	9	99.94596	0.999744	99.98495	99.97866	99.96328	99.95179	
jürgen	9	99.94454	0.999722	99.98495	99.97866	99.95066	99.94829	
information	9	99.94319	0.999577	99.98495	99.97866	99.96395	99.94380	
involved	9	99.94388	0.999701	99.98495	99.97866	99.97175	99.94967	
huge	9	99.93958	0.999771	99.98495	99.97866	99.95920	99.94337	
history	9	99.95099	0.999722	99.98495	99.97866	99.96756	99.95116	
hannover	9	99.94462	0.999671	99.98495	99.97866	99.96181	99.94728	
gets	9	99.94246	0.999759	99.98495	99.97866	99.96740	99.94482	
gardening	9	99.94381	0.999636	99.98495	99.97866	99.97461	99.95114	
foreign	9	99.94811	0.999704	99.98495	99.97866	99.96346	99.95325	
general	9	99.94173	0.999682	99.98495	99.97866	99.96508	99.94710	
film	9	99.94462	0.999791	99.98495	99.97866	99.97200	99.94674	
especially	9	99.94381	0.999609	99.98495	99.97866	99.96862	99.94894	
explained	9	99.94246	0.999627	99.98495	99.97866	99.96544	99.94700	
enough	9	99.94604	0.999731	99.98495	99.97866	99.96964	99.94720	
died	9	99.94815	0.999781	99.98495	99.97866	99.96943	99.95015	
currently	9	99.96071	0.999702	99.98495	99.97866	99.96824	99.96270	
eintracht	9	99.95238	0.999672	99.98495	99.97866	99.96958	99.95231	
champions	9	99.94246	0.999621	99.98495	99.97866	99.96822	99.95044	
conditions	9	99.93958	0.999594	99.98495	99.97866	99.95870	99.94191	
criticism	9	99.94454	0.999636	99.98495	99.97866	99.96706	99.94476	
catalan	9	99.94173	0.999680	99.98495	99.97866	99.95676	99.94590	
candidate	9	99.94535	0.999636	99.98495	99.97866	99.94918	99.94271	
ahlen	9	99.94596	0.999757	99.98495	99.97866	99.96371	99.94925	
75	9	99.94677	0.999832	99.98495	99.97866	99.97845	99.95600	
7	9	99.94608	0.999862	99.98495	99.97866	99.96549	99.94266	
50	9	99.94454	0.999825	99.98495	99.97866	99.96306	99.94658	
29	9	99.95099	0.999834	99.98495	99.97866	99.97271	99.95725	
18	9	99.94319	0.999816	99.98495	99.97866	99.97139	99.94497	
!	9	99.96709	0.999938	99.98495	99.97866	99.97823	99.96850	
youth	8	99.95548	0.999789	99.98495	99.98080	99.96581	99.95701	
yes	8	99.96535	0.999878	99.98495	99.98080	99.98161	99.96654	
wolbeck	8	99.95475	0.999746	99.98495	99.98080	99.96595	99.95820	
woman	8	99.95133	0.999772	99.98495	99.98080	99.96512	99.95062	
wine	8	99.94918	0.999798	99.98495	99.98080	99.95744	99.95050	
weekend	8	99.95344	0.999726	99.98495	99.98080	99.97488	99.95413	
turkey	8	99.95421	0.999767	99.98495	99.98080	99.95835	99.95545	
tree	8	99.95060	0.999806	99.98495	99.98080	99.96382	99.95004	
town	8	99.94703	0.999792	99.98495	99.98080	99.96370	99.94710	
transport	8	99.94918	0.999683	99.98495	99.98080	99.95589	99.94972	
tayyip	8	99.94849	0.999775	99.98495	99.98080	99.97413	99.95979	
success	8	99.95133	0.999731	99.98495	99.98080	99.97203	99.94942	
star	8	99.95348	0.999817	99.98495	99.98080	99.95231	99.95212	
slightly	8	99.95210	0.999696	99.98495	99.98080	99.96601	99.95342	
society	8	99.94703	0.999716	99.98495	99.98080	99.96267	99.94990	
singer	8	99.96335	0.999792	99.98495	99.98080	99.97308	99.96161	
score	8	99.94629	0.999769	99.98495	99.98080	99.97532	99.94810	
saw	8	99.95275	0.999833	99.98495	99.98080	99.96771	99.95307	
series	8	99.95060	0.999746	99.98495	99.98080	99.97031	99.95393	
row	8	99.95275	0.999837	99.98495	99.98080	99.98183	99.95509	
reports	8	99.95133	0.999731	99.98495	99.98080	99.97324	99.95225	
recep	8	99.94703	0.999759	99.98495	99.98080	99.97626	99.96091	
rather	8	99.94776	0.999740	99.98495	99.98080	99.94572	99.94681	
recent	8	99.95348	0.999747	99.98495	99.98080	99.96467	99.95515	
question	8	99.94918	0.999708	99.98495	99.98080	99.96406	99.94715	
process	8	99.94918	0.999721	99.98495	99.98080	99.97574	99.95302	
past	8	99.94776	0.999783	99.98495	99.98080	99.95873	99.94472	
press	8	99.95064	0.999769	99.98495	99.98080	99.96909	99.95207	
parking	8	99.95137	0.999717	99.98495	99.98080	99.97397	99.95545	
pass	8	99.94849	0.999788	99.98495	99.98080	99.95140	99.94917	
previous	8	99.94849	0.999687	99.98495	99.98080	99.97105	99.95389	
paris	8	99.95556	0.999794	99.98495	99.98080	99.96823	99.95511	
organ	8	99.94918	0.999768	99.98495	99.98080	99.95868	99.95438	
opportunity	8	99.95052	0.999631	99.98495	99.98080	99.97624	99.95296	
once	8	99.96051	0.999817	99.98495	99.98080	99.96608	99.96056	
office	8	99.94629	0.999747	99.98495	99.98080	99.96418	99.94776	
level	8	99.95267	0.999793	99.98495	99.98080	99.96418	99.95234	
larsen	8	99.95475	0.999775	99.98495	99.98080	99.96115	99.95516	
korean	8	99.94703	0.999735	99.98495	99.98080	99.95360	99.94731	
kavanaugh	8	99.95060	0.999664	99.98495	99.98080	99.96273	99.95313	
july	8	99.95060	0.999795	99.98495	99.98080	99.96783	99.95259	
island	8	99.95348	0.999755	99.98495	99.98080	99.97032	99.95559	
investigation	8	99.95483	0.999612	99.98495	99.98080	99.96757	99.95371	
held	8	99.94991	0.999807	99.98495	99.98080	99.97656	99.95060	
himself	8	99.94629	0.999711	99.98495	99.98080	99.95766	99.94760	
hall	8	99.95060	0.999803	99.98495	99.98080	99.97573	99.95233	
getting	8	99.94776	0.999712	99.98495	99.98080	99.95404	99.95038	
forest	8	99.94918	0.999746	99.98495	99.98080	99.95924	99.94863	
find	8	99.94629	0.999788	99.98495	99.98080	99.96983	99.94916	
florian	8	99.94703	0.999716	99.98495	99.98080	99.95200	99.94982	
hahn	8	99.95267	0.999803	99.98495	99.98080	99.95663	99.95743	
feel	8	99.94776	0.999783	99.98495	99.98080	99.97450	99.94967	
final	8	99.94918	0.999762	99.98495	99.98080	99.97232	99.95275	
fans	8	99.95851	0.999817	99.98495	99.98080	99.96811	99.95591	
executive	8	99.94991	0.999683	99.98495	99.98080	99.96571	99.95118	
european	8	99.94703	0.999687	99.98495	99.98080	99.94549	99.94712	
europe	8	99.95556	0.999760	99.98495	99.98080	99.96780	99.95321	
due	8	99.95052	0.999822	99.98495	99.98080	99.96031	99.95215	
demonstrated	8	99.94845	0.999612	99.98495	99.98080	99.96076	99.94920	
defeat	8	99.94629	0.999741	99.98495	99.98080	99.97322	99.94389	
de	8	99.94849	0.999832	99.98495	99.98080	99.92082	99.94741	
debate	8	99.95267	0.999765	99.98495	99.98080	99.96683	99.95240	
crashed	8	99.95206	0.999716	99.98495	99.98080	99.96790	99.95671	
community	8	99.95198	0.999688	99.98495	99.98080	99.97284	99.95367	
competition	8	99.95563	0.999657	99.98495	99.98080	99.96712	99.95420	
comes	8	99.94849	0.999764	99.98495	99.98080	99.95740	99.94926	
coalition	8	99.94703	0.999681	99.98495	99.98080	99.96057	99.94840	
colleagues	8	99.95125	0.999665	99.98495	99.98080	99.96761	99.95407	
chancellor	8	99.95125	0.999666	99.98495	99.98080	99.96916	99.95353	
coming	8	99.94849	0.999735	99.98495	99.98080	99.97496	99.95640	
championship	8	99.94991	0.999596	99.98495	99.98080	99.97345	99.94996	
bonn	8	99.95556	0.999825	99.98495	99.98080	99.96707	99.95658	
building	8	99.95340	0.999718	99.98495	99.98080	99.97383	99.95296	
birthday	8	99.95763	0.999734	99.98495	99.98080	99.96337	99.95692	
became	8	99.95060	0.999746	99.98495	99.98080	99.96174	99.95089	
bayern	8	99.94776	0.999740	99.98495	99.98080	99.96778	99.94685	
background	8	99.95267	0.999658	99.98495	99.98080	99.97037	99.95669	
available	8	99.94845	0.999698	99.98495	99.98080	99.96937	99.95080	
august	8	99.95490	0.999768	99.98495	99.98080	99.97317	99.95517	
albachten	8	99.94849	0.999674	99.98495	99.98080	99.96363	99.94923	
associations	8	99.95060	0.999613	99.98495	99.98080	99.97225	99.95106	
academy	8	99.95483	0.999736	99.98495	99.98080	99.97084	99.95660	
26	8	99.94991	0.999847	99.98495	99.98080	99.97897	99.94984	
16	8	99.95133	0.999834	99.98495	99.98080	99.96347	99.95079	
ambulance	8	99.95275	0.999706	99.98495	99.98080	99.96741	99.95145	
weeks	7	99.95447	0.999790	99.98495	99.98293	99.96967	99.95481	
white	7	99.95589	0.999803	99.98495	99.98293	99.96268	99.95788	
use	7	99.95301	0.999836	99.98495	99.98293	99.96745	99.95526	
100	8	99.94849	0.999807	99.98495	99.98080	99.96839	99.94993	
un	7	99.95946	0.999872	99.98495	99.98293	99.97014	99.96247	
tuesday	7	99.95946	0.999778	99.98495	99.98293	99.97618	99.95853	
total	7	99.96442	0.999824	99.98495	99.98293	99.97999	99.96641	
told	7	99.95447	0.999835	99.98495	99.98293	99.96977	99.95577	
tiger	7	99.95447	0.999795	99.98495	99.98293	99.96566	99.95749	
think	7	99.95804	0.999809	99.98495	99.98293	99.98160	99.95685	
term	7	99.95589	0.999813	99.98495	99.98293	99.97593	99.96001	
taxi	7	99.96154	0.999838	99.98495	99.98293	99.98022	99.96276	
survey	7	99.95939	0.999799	99.98495	99.98293	99.96533	99.95947	
songs	7	99.96162	0.999820	99.98495	99.98293	99.96560	99.95987	
song	7	99.95516	0.999816	99.98495	99.98293	99.96980	99.95680	
small	7	99.95374	0.999794	99.98495	99.98293	99.96253	99.95458	
say	7	99.95447	0.999842	99.98495	99.98293	99.96804	99.95460	
run	7	99.95374	0.999836	99.98495	99.98293	99.96796	99.95600	
residents	7	99.95301	0.999714	99.98495	99.98293	99.97119	99.95343	
register	7	99.95589	0.999729	99.98495	99.98293	99.97292	99.96120	
responsible	7	99.95797	0.999684	99.98495	99.98293	99.96960	99.95965	
reckenfeld	7	99.95589	0.999692	99.98495	99.98293	99.96475	99.95693	
rebic	7	99.95589	0.999789	99.98495	99.98293	99.96032	99.95606	
reasons	7	99.95374	0.999761	99.98495	99.98293	99.96429	99.95401	
provided	7	99.95589	0.999729	99.98495	99.98293	99.96784	99.95546	
property	7	99.95662	0.999736	99.98495	99.98293	99.96929	99.95408	
received	7	99.95301	0.999726	99.98495	99.98293	99.96862	99.95380	
professional	7	99.96369	0.999664	99.98495	99.98293	99.96101	99.96370	
places	7	99.95877	0.999794	99.98495	99.98293	99.97200	99.95807	
penalty	7	99.95662	0.999757	99.98495	99.98293	99.96537	99.95640	
park	7	99.96154	0.999846	99.98495	99.98293	99.97459	99.96008	
partner	7	99.95447	0.999747	99.98495	99.98293	99.96321	99.95768	
olympic	7	99.95520	0.999747	99.98495	99.98293	99.95516	99.95331	
numerous	7	99.95589	0.999729	99.98495	99.98293	99.96707	99.95726	
nuclear	7	99.95374	0.999747	99.98495	99.98293	99.96446	99.95387	
nottuln	7	99.96154	0.999794	99.98495	99.98293	99.97163	99.96322	
needs	7	99.95516	0.999795	99.98495	99.98293	99.97232	99.96111	
native	7	99.95374	0.999773	99.98495	99.98293	99.95355	99.95411	
naldo	7	99.96361	0.999830	99.98495	99.98293	99.97184	99.96282	
mülheim	7	99.95877	0.999750	99.98495	99.98293	99.98003	99.96097	
moment	7	99.95589	0.999778	99.98495	99.98293	99.96638	99.95700	
mexico	7	99.96012	0.999794	99.98495	99.98293	99.97410	99.96036	
member	7	99.95589	0.999769	99.98495	99.98293	99.96958	99.95828	
medal	7	99.95939	0.999817	99.98495	99.98293	99.98065	99.95842	
market	7	99.96377	0.999809	99.98495	99.98293	99.97776	99.95886	
manchester	7	99.95797	0.999700	99.98495	99.98293	99.97523	99.96027	
managed	7	99.95301	0.999752	99.98495	99.98293	99.97564	99.95619	
maas	7	99.97072	0.999885	99.98495	99.98293	99.98106	99.97156	
locomotives	7	99.95939	0.999689	99.98495	99.98293	99.95775	99.95908	
live	7	99.95662	0.999826	99.98495	99.98293	99.96645	99.95603	
labor	7	99.95447	0.999817	99.98495	99.98293	99.96393	99.95619	
