Type	Frequency	CHRF1	CHRF3
canada	6	0.999831	0.999745	
cause	6	0.999855	0.999783	
boyfriend	6	0.999777	0.999647	
brazil	6	0.999811	0.999724	
borsody	6	0.999793	0.999692	
body	6	0.999863	0.999805	
bench	6	0.999860	0.999788	
attack	6	0.999811	0.999724	
bank	6	0.999837	0.999779	
beat	6	0.999842	0.999784	
autumn	6	0.999830	0.999744	
atmosphere	6	0.999749	0.999604	
attacked	6	0.999766	0.999650	
article	6	0.999821	0.999720	
allowed	6	0.999788	0.999687	
art	6	0.999870	0.999826	
agency	6	0.999828	0.999741	
adfc	6	0.999852	0.999794	
90	6	0.999873	0.999844	
55	6	0.999879	0.999850	
13	6	0.999879	0.999850	
whose	5	0.999849	0.999789	
2016	6	0.999859	0.999801	
worked	5	0.999845	0.999773	
word	5	0.999882	0.999834	
whom	5	0.999864	0.999816	
waiting	5	0.999819	0.999735	
upper	5	0.999849	0.999789	
vote	5	0.999874	0.999826	
und	5	0.999879	0.999843	
treysa	5	0.999864	0.999792	
turned	5	0.999839	0.999767	
trust	5	0.999849	0.999789	
trees	5	0.999869	0.999809	
topic	5	0.999849	0.999789	
trained	5	0.999819	0.999735	
title	5	0.999878	0.999818	
tie	5	0.999900	0.999864	
thyssenkrupp	5	0.999759	0.999615	
thursday	5	0.999820	0.999724	
surrounding	5	0.999759	0.999627	
test	5	0.999864	0.999816	
task	5	0.999867	0.999819	
supervisory	5	0.999762	0.999630	
surprise	5	0.999809	0.999713	
summit	5	0.999849	0.999777	
subsequent	5	0.999782	0.999662	
struggle	5	0.999824	0.999728	
striker	5	0.999857	0.999773	
strange	5	0.999819	0.999735	
spokesperson	5	0.999754	0.999610	
spanish	5	0.999822	0.999738	
stock	5	0.999849	0.999789	
spain	5	0.999874	0.999814	
south	5	0.999849	0.999789	
sonntag	5	0.999834	0.999750	
sometimes	5	0.999794	0.999686	
social	5	0.999844	0.999772	
single	5	0.999854	0.999782	
sign	5	0.999864	0.999816	
serena	5	0.999864	0.999792	
shows	5	0.999859	0.999799	
severe	5	0.999849	0.999777	
share	5	0.999854	0.999794	
session	5	0.999829	0.999745	
separatists	5	0.999779	0.999647	
seen	5	0.999870	0.999822	
schröder	5	0.999814	0.999718	
sec	5	0.999895	0.999859	
school	5	0.999849	0.999777	
satisfied	5	0.999789	0.999681	
role	5	0.999869	0.999821	
ri	5	0.999894	0.999870	
rest	5	0.999864	0.999816	
remembers	5	0.999799	0.999691	
remains	5	0.999819	0.999735	
relief	5	0.999858	0.999786	
remained	5	0.999804	0.999708	
reason	5	0.999854	0.999782	
receive	5	0.999819	0.999735	
re	5	0.999904	0.999880	
reached	5	0.999825	0.999741	
ran	5	0.999880	0.999844	
ready	5	0.999849	0.999789	
railway	5	0.999829	0.999745	
quick	5	0.999859	0.999799	
profit	5	0.999859	0.999787	
prepared	5	0.999807	0.999711	
positive	5	0.999814	0.999718	
premier	5	0.999819	0.999735	
problem	5	0.999832	0.999748	
poor	5	0.999875	0.999827	
polio	5	0.999885	0.999825	
pointed	5	0.999825	0.999741	
pilot	5	0.999868	0.999808	
phase	5	0.999860	0.999800	
path	5	0.999864	0.999816	
performed	5	0.999789	0.999681	
parish	5	0.999834	0.999762	
passed	5	0.999835	0.999763	
outside	5	0.999844	0.999760	
packed	5	0.999849	0.999777	
online	5	0.999876	0.999803	
older	5	0.999854	0.999794	
opponent	5	0.999819	0.999723	
officers	5	0.999804	0.999708	
offered	5	0.999825	0.999741	
offensive	5	0.999811	0.999703	
news	5	0.999874	0.999826	
obvious	5	0.999826	0.999742	
numbers	5	0.999834	0.999750	
municipality	5	0.999760	0.999616	
motorcycle	5	0.999784	0.999664	
müller	5	0.999859	0.999787	
month	5	0.999870	0.999810	
mönchengladbach	5	0.999730	0.999550	
mobile	5	0.999844	0.999772	
miss	5	0.999879	0.999831	
ministers	5	0.999789	0.999681	
met	5	0.999884	0.999848	
manager	5	0.999828	0.999744	
mental	5	0.999834	0.999762	
maradona	5	0.999819	0.999723	
matches	5	0.999854	0.999770	
major	5	0.999849	0.999789	
mafaalani	5	0.999805	0.999697	
location	5	0.999823	0.999727	
llambi	5	0.999849	0.999777	
lives	5	0.999879	0.999819	
limit	5	0.999857	0.999797	
lindsay	5	0.999854	0.999770	
letters	5	0.999835	0.999751	
legend	5	0.999835	0.999763	
leave	5	0.999854	0.999794	
landsham	5	0.999814	0.999718	
landing	5	0.999849	0.999765	
keep	5	0.999865	0.999817	
knows	5	0.999849	0.999789	
june	5	0.999882	0.999834	
judge	5	0.999863	0.999803	
journalist	5	0.999792	0.999672	
investigators	5	0.999755	0.999599	
itself	5	0.999849	0.999777	
joachim	5	0.999849	0.999765	
joint	5	0.999849	0.999789	
interview	5	0.999791	0.999683	
interim	5	0.999823	0.999739	
interest	5	0.999827	0.999731	
ilkay	5	0.999859	0.999799	
index	5	0.999849	0.999789	
including	5	0.999789	0.999681	
ignition	5	0.999814	0.999718	
huber	5	0.999852	0.999792	
hot	5	0.999887	0.999851	
houses	5	0.999844	0.999772	
horstmann	5	0.999790	0.999682	
hold	5	0.999875	0.999827	
helicopter	5	0.999792	0.999672	
heinz	5	0.999849	0.999789	
heard	5	0.999869	0.999809	
günter	5	0.999839	0.999767	
gündogan	5	0.999814	0.999718	
glider	5	0.999849	0.999777	
giving	5	0.999834	0.999762	
goalkeeper	5	0.999774	0.999654	
georg	5	0.999864	0.999804	
gives	5	0.999856	0.999796	
gathered	5	0.999809	0.999713	
fun	5	0.999884	0.999848	
garbage	5	0.999834	0.999750	
freedom	5	0.999839	0.999755	
frank	5	0.999864	0.999804	
form	5	0.999874	0.999826	
force	5	0.999873	0.999813	
focus	5	0.999852	0.999792	
floor	5	0.999864	0.999804	
fitz	5	0.999894	0.999846	
fight	5	0.999855	0.999795	
fbi	5	0.999879	0.999843	
fatal	5	0.999859	0.999799	
fall	5	0.999872	0.999824	
famous	5	0.999839	0.999767	
experienced	5	0.999774	0.999642	
exhibition	5	0.999794	0.999674	
evangelical	5	0.999774	0.999642	
erdoğan	5	0.999844	0.999760	
equal	5	0.999855	0.999795	
entrance	5	0.999834	0.999738	
empty	5	0.999854	0.999794	
eleven	5	0.999834	0.999762	
el	5	0.999924	0.999900	
easily	5	0.999834	0.999762	
dream	5	0.999860	0.999800	
duck	5	0.999887	0.999839	
draw	5	0.999874	0.999826	
donald	5	0.999834	0.999762	
domenico	5	0.999804	0.999708	
dpa	5	0.999899	0.999863	
dispute	5	0.999849	0.999765	
die	5	0.999879	0.999843	
development	5	0.999762	0.999630	
demonstration	5	0.999741	0.999585	
december	5	0.999816	0.999720	
decision	5	0.999804	0.999708	
decades	5	0.999842	0.999758	
data	5	0.999864	0.999816	
danish	5	0.999840	0.999768	
cyclists	5	0.999814	0.999718	
csu	5	0.999894	0.999858	
cut	5	0.999879	0.999843	
crowd	5	0.999859	0.999799	
crisis	5	0.999844	0.999772	
courage	5	0.999834	0.999750	
countries	5	0.999790	0.999682	
corner	5	0.999844	0.999772	
conclusion	5	0.999789	0.999669	
competitors	5	0.999779	0.999647	
complete	5	0.999818	0.999722	
communication	5	0.999739	0.999583	
china	5	0.999865	0.999805	
chances	5	0.999827	0.999743	
ceo	5	0.999889	0.999853	
central	5	0.999819	0.999735	
cases	5	0.999849	0.999789	
calls	5	0.999849	0.999789	
bsv	5	0.999894	0.999858	
bremen	5	0.999839	0.999767	
boys	5	0.999886	0.999838	
boards	5	0.999859	0.999787	
blue	5	0.999884	0.999836	
bikers	5	0.999837	0.999765	
biggest	5	0.999826	0.999742	
boss	5	0.999867	0.999819	
bieletzki	5	0.999825	0.999717	
beauty	5	0.999837	0.999765	
banks	5	0.999849	0.999789	
attention	5	0.999790	0.999682	
basketball	5	0.999819	0.999699	
automobile	5	0.999789	0.999669	
attempt	5	0.999830	0.999746	
asv	5	0.999899	0.999863	
artist	5	0.999857	0.999785	
areas	5	0.999869	0.999809	
anyone	5	0.999895	0.999823	
anything	5	0.999814	0.999718	
announcement	5	0.999768	0.999624	
although	5	0.999849	0.999753	
angry	5	0.999881	0.999821	
age	5	0.999884	0.999848	
advertising	5	0.999759	0.999627	
administration	5	0.999714	0.999545	
activists	5	0.999794	0.999686	
above	5	0.999888	0.999828	
8	5	0.999910	0.999898	
70	5	0.999915	0.999891	
68	5	0.999894	0.999870	
48	5	0.999894	0.999870	
41	5	0.999894	0.999870	
31	5	0.999913	0.999889	
19	5	0.999897	0.999873	
;	5	0.999909	0.999897	
17	5	0.999894	0.999870	
&	5	0.999915	0.999903	
yellow	4	0.999867	0.999809	
writing	4	0.999860	0.999793	
worst	4	0.999889	0.999841	
winner	4	0.999867	0.999809	
wolfgang	4	0.999863	0.999786	
williams	4	0.999843	0.999766	
weather	4	0.999861	0.999794	
werder	4	0.999867	0.999809	
water	4	0.999879	0.999831	
war	4	0.999913	0.999884	
vw	4	0.999933	0.999914	
votes	4	0.999889	0.999841	
visitor	4	0.999868	0.999801	
volunteers	4	0.999828	0.999732	
vice	4	0.999896	0.999858	
via	4	0.999903	0.999874	
usually	4	0.999855	0.999788	
ultimately	4	0.999834	0.999738	
unclear	4	0.999875	0.999808	
users	4	0.999894	0.999846	
twelve	4	0.999872	0.999814	
try	4	0.999922	0.999893	
true	4	0.999896	0.999858	
training	4	0.999858	0.999781	
tinder	4	0.999868	0.999810	
threw	4	0.999891	0.999843	
thewes	4	0.999903	0.999845	
theme	4	0.999884	0.999836	
teubner	4	0.999871	0.999804	
tell	4	0.999894	0.999856	
tasks	4	0.999884	0.999836	
technical	4	0.999840	0.999754	
talking	4	0.999855	0.999788	
taking	4	0.999892	0.999835	
syrian	4	0.999899	0.999841	
surprised	4	0.999831	0.999745	
swisstransplant	4	0.999789	0.999645	
student	4	0.999855	0.999788	
supreme	4	0.999865	0.999798	
supporters	4	0.999834	0.999738	
strength	4	0.999843	0.999766	
stopped	4	0.999862	0.999795	
stop	4	0.999892	0.999854	
steffen	4	0.999864	0.999797	
staff	4	0.999894	0.999846	
statement	4	0.999832	0.999745	
spoke	4	0.999884	0.999836	
speed	4	0.999889	0.999841	
sold	4	0.999897	0.999859	
soccer	4	0.999882	0.999825	
skate	4	0.999885	0.999837	
sit	4	0.999908	0.999879	
simply	4	0.999888	0.999831	
singers	4	0.999855	0.999788	
similar	4	0.999866	0.999799	
shown	4	0.999879	0.999831	
shirt	4	0.999889	0.999841	
serious	4	0.999855	0.999788	
senate	4	0.999877	0.999819	
secured	4	0.999865	0.999798	
seating	4	0.999856	0.999789	
secure	4	0.999867	0.999809	
science	4	0.999860	0.999793	
schöpf	4	0.999887	0.999830	
schabowski	4	0.999839	0.999743	
scandal	4	0.999860	0.999793	
scene	4	0.999915	0.999866	
sc	4	0.999915	0.999896	
sat	4	0.999905	0.999876	
sanctions	4	0.999841	0.999755	
running	4	0.999864	0.999797	
san	4	0.999933	0.999905	
romantic	4	0.999843	0.999766	
roads	4	0.999889	0.999841	
rescued	4	0.999885	0.999818	
reportedly	4	0.999834	0.999738	
representatives	4	0.999784	0.999640	
removed	4	0.999865	0.999798	
relatives	4	0.999831	0.999745	
replaced	4	0.999855	0.999778	
rehberg	4	0.999855	0.999788	
regional	4	0.999843	0.999766	
refugees	4	0.999846	0.999769	
read	4	0.999891	0.999853	
reality	4	0.999865	0.999798	
receives	4	0.999844	0.999767	
quarter	4	0.999865	0.999798	
rapprochement	4	0.999793	0.999668	
protest	4	0.999855	0.999788	
pyongyang	4	0.999841	0.999755	
purpose	4	0.999873	0.999806	
questions	4	0.999831	0.999745	
protection	4	0.999829	0.999733	
professor	4	0.999846	0.999760	
prize	4	0.999894	0.999846	
popular	4	0.999863	0.999796	
prices	4	0.999867	0.999809	
portuguese	4	0.999845	0.999749	
prevent	4	0.999855	0.999788	
polls	4	0.999899	0.999851	
politics	4	0.999843	0.999766	
policy	4	0.999872	0.999814	
plots	4	0.999879	0.999831	
photos	4	0.999867	0.999809	
photo	4	0.999889	0.999841	
phone	4	0.999884	0.999836	
peter	4	0.999884	0.999836	
pay	4	0.999903	0.999874	
personally	4	0.999830	0.999734	
personal	4	0.999843	0.999766	
per	4	0.999912	0.999883	
pastor	4	0.999879	0.999822	
partnership	4	0.999807	0.999701	
parts	4	0.999915	0.999867	
particularly	4	0.999810	0.999695	
parliamentary	4	0.999783	0.999658	
paint	4	0.999879	0.999831	
partially	4	0.999831	0.999745	
palu	4	0.999911	0.999873	
overall	4	0.999873	0.999806	
outstanding	4	0.999813	0.999707	
oliver	4	0.999876	0.999818	
order	4	0.999884	0.999836	
often	4	0.999879	0.999831	
officially	4	0.999824	0.999728	
offer	4	0.999879	0.999831	
offers	4	0.999882	0.999825	
occurred	4	0.999848	0.999771	
nuremberg	4	0.999847	0.999761	
occasion	4	0.999858	0.999781	
nrw	4	0.999903	0.999874	
nothing	4	0.999865	0.999798	
newspaper	4	0.999831	0.999745	
normally	4	0.999849	0.999772	
nevertheless	4	0.999841	0.999725	
nearly	4	0.999867	0.999809	
near	4	0.999900	0.999862	
nature	4	0.999888	0.999831	
narrow	4	0.999867	0.999809	
nations	4	0.999875	0.999808	
multi	4	0.999879	0.999831	
mourinho	4	0.999843	0.999766	
moth	4	0.999900	0.999862	
model	4	0.999894	0.999846	
might	4	0.999885	0.999837	
migrants	4	0.999843	0.999766	
mertens	4	0.999890	0.999823	
merger	4	0.999878	0.999821	
mentioned	4	0.999856	0.999770	
max	4	0.999917	0.999888	
marxgrün	4	0.999873	0.999797	
mass	4	0.999901	0.999863	
mario	4	0.999898	0.999850	
marcel	4	0.999867	0.999809	
manufacturers	4	0.999783	0.999658	
manufacturer	4	0.999811	0.999696	
makes	4	0.999879	0.999831	
luck	4	0.999891	0.999853	
lower	4	0.999882	0.999834	
loud	4	0.999892	0.999854	
lose	4	0.999891	0.999853	
look	4	0.999894	0.999856	
looking	4	0.999855	0.999788	
london	4	0.999867	0.999809	
listed	4	0.999867	0.999809	
linde	4	0.999884	0.999836	
lines	4	0.999894	0.999846	
libya	4	0.999889	0.999841	
leverkusen	4	0.999839	0.999743	
lebenshilfe	4	0.999846	0.999740	
less	4	0.999896	0.999858	
legal	4	0.999882	0.999834	
land	4	0.999900	0.999862	
landscape	4	0.999846	0.999760	
krause	4	0.999867	0.999809	
klopp	4	0.999879	0.999831	
kick	4	0.999891	0.999853	
keywords	4	0.999889	0.999812	
jasic	4	0.999889	0.999841	
investigating	4	0.999797	0.999672	
inside	4	0.999897	0.999840	
industry	4	0.999843	0.999766	
initiative	4	0.999829	0.999733	
industrial	4	0.999834	0.999738	
impression	4	0.999829	0.999733	
heide	4	0.999903	0.999855	
hosts	4	0.999893	0.999845	
heads	4	0.999889	0.999841	
having	4	0.999867	0.999809	
happened	4	0.999843	0.999766	
happen	4	0.999877	0.999820	
header	4	0.999867	0.999809	
ham	4	0.999903	0.999874	
haaße	4	0.999903	0.999855	
gütersloh	4	0.999837	0.999751	
guitarist	4	0.999846	0.999760	
growing	4	0.999855	0.999788	
greece	4	0.999877	0.999820	
gladbach	4	0.999858	0.999781	
goalie	4	0.999877	0.999819	
give	4	0.999894	0.999856	
fully	4	0.999884	0.999836	
gap	4	0.999916	0.999888	
friends	4	0.999865	0.999798	
füchtorf	4	0.999863	0.999786	
frick	4	0.999899	0.999851	
french	4	0.999870	0.999812	
fought	4	0.999868	0.999810	
fresh	4	0.999879	0.999831	
freshly	4	0.999858	0.999791	
ferrari	4	0.999865	0.999798	
finish	4	0.999867	0.999809	
fear	4	0.999907	0.999869	
fallen	4	0.999868	0.999810	
expressed	4	0.999836	0.999750	
eyes	4	0.999901	0.999863	
express	4	0.999855	0.999788	
eu	4	0.999915	0.999896	
events	4	0.999872	0.999814	
established	4	0.999822	0.999716	
enjoyed	4	0.999856	0.999789	
ended	4	0.999904	0.999856	
emnid	4	0.999889	0.999841	
eighth	4	0.999867	0.999809	
elon	4	0.999921	0.999883	
eberhard	4	0.999843	0.999766	
earlier	4	0.999870	0.999803	
drove	4	0.999894	0.999846	
donis	4	0.999920	0.999872	
donation	4	0.999869	0.999792	
doing	4	0.999879	0.999831	
division	4	0.999858	0.999781	
distance	4	0.999843	0.999766	
direction	4	0.999831	0.999745	
dinkel	4	0.999887	0.999830	
destroyed	4	0.999841	0.999755	
didn	4	0.999892	0.999854	
demonstrate	4	0.999807	0.999701	
depot	4	0.999879	0.999831	
definitely	4	0.999819	0.999723	
demand	4	0.999870	0.999812	
defender	4	0.999844	0.999767	
defended	4	0.999843	0.999766	
defeated	4	0.999843	0.999766	
decrypto	4	0.999856	0.999779	
decisive	4	0.999858	0.999781	
debut	4	0.999889	0.999841	
culture	4	0.999871	0.999804	
damaged	4	0.999865	0.999798	
decided	4	0.999855	0.999788	
cycle	4	0.999897	0.999849	
create	4	0.999867	0.999809	
cost	4	0.999896	0.999858	
counter	4	0.999855	0.999788	
continue	4	0.999844	0.999767	
conservative	4	0.999810	0.999695	
confirmed	4	0.999831	0.999745	
competitive	4	0.999807	0.999701	
completed	4	0.999837	0.999751	
commission	4	0.999819	0.999723	
closed	4	0.999867	0.999809	
clean	4	0.999880	0.999832	
class	4	0.999879	0.999831	
christoph	4	0.999831	0.999745	
chris	4	0.999889	0.999841	
child	4	0.999885	0.999837	
catch	4	0.999879	0.999831	
causes	4	0.999867	0.999809	
chief	4	0.999879	0.999831	
catalonia	4	0.999841	0.999755	
cars	4	0.999903	0.999865	
castle	4	0.999872	0.999814	
care	4	0.999901	0.999863	
cards	4	0.999889	0.999841	
captain	4	0.999855	0.999788	
cancer	4	0.999892	0.999835	
business	4	0.999853	0.999776	
bus	4	0.999903	0.999874	
bundestag	4	0.999831	0.999745	
cake	4	0.999906	0.999868	
built	4	0.999879	0.999831	
british	4	0.999858	0.999791	
bring	4	0.999879	0.999831	
breast	4	0.999867	0.999809	
braunschweig	4	0.999798	0.999683	
bone	4	0.999901	0.999863	
bonesaw	4	0.999855	0.999788	
billion	4	0.999855	0.999788	
blues	4	0.999879	0.999831	
bit	4	0.999909	0.999880	
beer	4	0.999891	0.999853	
believe	4	0.999856	0.999789	
bavarian	4	0.999843	0.999766	
barrier	4	0.999865	0.999798	
bader	4	0.999879	0.999831	
bamberg	4	0.999855	0.999788	
aware	4	0.999902	0.999854	
athens	4	0.999882	0.999825	
bands	4	0.999879	0.999831	
asylum	4	0.999867	0.999809	
assumed	4	0.999866	0.999799	
artists	4	0.999875	0.999808	
arrived	4	0.999870	0.999803	
arrested	4	0.999868	0.999792	
armed	4	0.999879	0.999831	
approach	4	0.999848	0.999771	
arithmetic	4	0.999844	0.999748	
animal	4	0.999886	0.999829	
andreas	4	0.999873	0.999806	
alvin	4	0.999897	0.999849	
altenrheine	4	0.999813	0.999707	
allegri	4	0.999870	0.999803	
along	4	0.999888	0.999840	
aldi	4	0.999897	0.999859	
albersloh	4	0.999846	0.999760	
alarm	4	0.999879	0.999831	
album	4	0.999882	0.999834	
airlines	4	0.999873	0.999797	
ajax	4	0.999916	0.999878	
aid	4	0.999908	0.999879	
ahead	4	0.999889	0.999841	
agree	4	0.999879	0.999831	
afterwards	4	0.999860	0.999764	
afd	4	0.999903	0.999874	
accept	4	0.999872	0.999814	
access	4	0.999867	0.999809	
added	4	0.999885	0.999837	
69	4	0.999921	0.999902	
9	4	0.999927	0.999917	
64	4	0.999915	0.999896	
60	4	0.999915	0.999896	
6	4	0.999927	0.999917	
46	4	0.999918	0.999899	
57	4	0.999918	0.999899	
40	4	0.999916	0.999897	
43	4	0.999915	0.999896	
39	4	0.999921	0.999902	
36	4	0.999916	0.999897	
22	4	0.999915	0.999896	
3,000	4	0.999879	0.999831	
21	4	0.999940	0.999921	
200	4	0.999903	0.999874	
27	4	0.999928	0.999909	
1991	4	0.999923	0.999884	
12	4	0.999915	0.999896	
120	4	0.999903	0.999874	
11	4	0.999940	0.999921	
04	4	0.999915	0.999896	
zorc	3	0.999934	0.999905	
zone	3	0.999918	0.999889	
ye	3	0.999936	0.999922	
wüstenhagen	3	0.999876	0.999796	
würzburg	3	0.999913	0.999855	
wrong	3	0.999918	0.999882	
written	3	0.999891	0.999841	
workers	3	0.999891	0.999841	
works	3	0.999909	0.999873	
wishes	3	0.999909	0.999866	
winning	3	0.999891	0.999841	
westhues	3	0.999897	0.999840	
welcomed	3	0.999882	0.999825	
weight	3	0.999910	0.999867	
wednesday	3	0.999894	0.999829	
website	3	0.999906	0.999856	
watford	3	0.999902	0.999852	
web	3	0.999943	0.999921	
watch	3	0.999909	0.999873	
walter	3	0.999900	0.999857	
wait	3	0.999923	0.999894	
voted	3	0.999909	0.999873	
volker	3	0.999900	0.999857	
violence	3	0.999908	0.999850	
village	3	0.999902	0.999852	
victims	3	0.999891	0.999841	
version	3	0.999891	0.999841	
venue	3	0.999924	0.999888	
valencia	3	0.999882	0.999825	
usc	3	0.999927	0.999906	
unfortunately	3	0.999863	0.999769	
uphus	3	0.999912	0.999876	
unknown	3	0.999896	0.999846	
understand	3	0.999865	0.999793	
unbeatable	3	0.999880	0.999808	
twitter	3	0.999896	0.999846	
turn	3	0.999918	0.999889	
turin	3	0.999919	0.999883	
tuchel	3	0.999915	0.999872	
tsv	3	0.999927	0.999906	
trip	3	0.999928	0.999899	
trying	3	0.999915	0.999872	
trendsport	3	0.999883	0.999810	
trains	3	0.999910	0.999867	
tourism	3	0.999891	0.999841	
tory	3	0.999918	0.999889	
touch	3	0.999918	0.999882	
torn	3	0.999928	0.999900	
throw	3	0.999909	0.999873	
throughout	3	0.999876	0.999804	
thousands	3	0.999879	0.999814	
thank	3	0.999925	0.999888	
thanked	3	0.999900	0.999850	
tennis	3	0.999921	0.999877	
taskforce	3	0.999886	0.999822	
teacher	3	0.999894	0.999844	
talked	3	0.999905	0.999862	
symbols	3	0.999917	0.999866	
switching	3	0.999883	0.999818	
swiss	3	0.999909	0.999873	
süverkrüp	3	0.999881	0.999816	
suspected	3	0.999873	0.999808	
supporting	3	0.999864	0.999792	
suffering	3	0.999873	0.999808	
suddenly	3	0.999882	0.999825	
sturridge	3	0.999878	0.999813	
substitute	3	0.999864	0.999792	
substitution	3	0.999856	0.999770	
subject	3	0.999912	0.999861	
stuck	3	0.999909	0.999873	
stressful	3	0.999883	0.999818	
struck	3	0.999900	0.999857	
struggled	3	0.999873	0.999808	
stir	3	0.999928	0.999900	
stefan	3	0.999926	0.999882	
stations	3	0.999908	0.999850	
standing	3	0.999882	0.999825	
stages	3	0.999900	0.999857	
stadler	3	0.999891	0.999841	
speaks	3	0.999905	0.999862	
solutions	3	0.999890	0.999825	
speaking	3	0.999882	0.999825	
solid	3	0.999909	0.999873	
solution	3	0.999896	0.999839	
snow	3	0.999918	0.999889	
smoke	3	0.999926	0.999889	
sky	3	0.999937	0.999916	
ski	3	0.999943	0.999921	
situations	3	0.999895	0.999823	
sight	3	0.999912	0.999876	
sg	3	0.999944	0.999930	
sides	3	0.999914	0.999878	
seventh	3	0.999891	0.999841	
shoot	3	0.999910	0.999874	
settlement	3	0.999874	0.999802	
senior	3	0.999903	0.999860	
separated	3	0.999893	0.999828	
